Menu Item Name,Family Group,Major Group,Qty Sold
LORRAINE S CR,DESSERTS,FOOD,1731
ICED LATTE M,BEVERAGES,BEVERAGES,1730
SUB CHIX PESTO,SANDWICHES,FOOD,1725
BOLOGNESE,PASTA,FOOD,1713
Y SAN. CHX SLD,GRAB N GO,FOOD,1704
COOKIE N CRM PIE,DESSERTS,FOOD,1698
BRUEGR CHIPS,DESSERTS,FOOD,1693
RASP CHIX SLD,SALAD,FOOD,1691
PARM. CHEESE,SALAD,FOOD,1676
SPECIAL PASTA,PIZZA,FOOD,1656
Y WRAP CHX SLD,GRAB N GO,FOOD,1653
TP SIDE GREEK,SIDES,FOOD,1643
WKLY SAVORY CR,DESSERTS,FOOD,1639
BACON,BREAKFAST,FOOD,1627
ROAST LAMB,ENTREES,FOOD,1599
EXTRA TOPPING,BREAKFAST,FOOD,1587
TP SIDE CAESAR,SIDES,FOOD,1564
ICE/WATER,BEVERAGES,BEVERAGES,1563
SHRIMP AND GRITS,ENTREES,FOOD,1561
BRUEGR COOKIE,DESSERTS,FOOD,1558
MUSHROOMS,SALAD,FOOD,1527
SLD CHIX CAESR,SALAD,FOOD,1527
SHRIMP,ENTREES,FOOD,1524
EEL MAKI,ENTREES,FOOD,1498
MEATLOVERS,PIZZA,FOOD,1488
NTTY ALM BTR BWL,BEVERAGES,BEVERAGES,1480
FOUNTAIN BR,BEVERAGES,BEVERAGES,1479
CHEESE,TOPPINGS,FOOD,1441
CHOC. ESPRSO BNS,PREPACKAGED,FOOD,1437
SPECIAL DESSERT,PIZZA,FOOD,1437
YTG WRP SPCY CHK,GRAB N GO,FOOD,1408
BLK OLIVE,SALAD,FOOD,1392
EXTRA EGG,TOPPINGS,FOOD,1378
DASANI SPARKLING,BEVERAGES,BEVERAGES,1349
CADRE LUNCH,SUMMER CADRE,BOARD OPS,1344
WALNUTS,SALAD,FOOD,1332
EMP BURRITO,EMPLOYEE MEALS,EMPL MEALS,1324
THURS. BL PLTE,BREAKFAST,FOOD,1324
BRKFST B CHORIZO,FOOD,FOOD,1317
COOKE MAC NUT,DESSERTS,FOOD,1295
BROWNIE,FOOD,FOOD,1290
3 T CHICKEN,FOOD,FOOD,1281
LG BL PLTE BRKF,BREAKFAST,FOOD,1281
MUSTRD CHIX BR,ENTREES,FOOD,1262
BAGUETTE,BREADS,FOOD,1260
SOY,BEVERAGES,BEVERAGES,1251
SUNFLWER SDS,SALAD,FOOD,1234
SAUSAGE GRVY,BREAKFAST,FOOD,1222
ADD SPICY,ENTREES,FOOD,1219
SPECIAL 3 TP,FOOD,FOOD,1216
HAM N CHZ CR,DESSERTS,FOOD,1181
TEA BAG,BEVERAGES,BEVERAGES,1181
SOUP 2,SOUPS/ STEWS,FOOD,1173
GELATO/SORBE SM,ICE CREAM,FOOD,1159
QUESAD CHICKN,FOOD,FOOD,1159
CHIPS N SALSA,FOOD,FOOD,1142
Y SLD SPCY CHX,GRAB N GO,FOOD,1108
TOFU GRL TOMATO,ENTREES,FOOD,1106
YTG VGGIE BOWL,GRAB N GO,FOOD,1106
LEONARDO VEG,SANDWICHES,FOOD,1104
YTG FRT HONYDW,GRAB N GO,FOOD,1092
Y SLD CHEF,GRAB N GO,FOOD,1077
VEGETARIAN ROLL,ENTREES,FOOD,1065
COOKE PNT BTTR,DESSERTS,FOOD,1064
SIENE CHIX,SANDWICHES,FOOD,1060
WEDNES. BL PLTE,BREAKFAST,FOOD,1055
BUT/JEL/HON BLG,BREAKFAST,FOOD,1037
NITRO COLD BREW,BEVERAGES,BEVERAGES,1026
NB PORK,FOOD,FOOD,1025
BACON BITS,SALAD,FOOD,1022
BGL TRK-HM-RBF,SANDWICHES,FOOD,1006
CRACKR CHP SC ON,FOOD,FOOD,1004
SOUP 1,SOUPS/ STEWS,FOOD,997
BRAISED GREENS,SIDES,FOOD,996
SALMON POKE BOWL,ENTREES,FOOD,978
APPLE PIE,DESSERTS,FOOD,974
SALM CR CHZ MAKI,ENTREES,FOOD,968
ICED LATTE L,BEVERAGES,BEVERAGES,958
BEES KNEES,SANDWICHES,FOOD,949
GELATO/SORBE MD,ICE CREAM,FOOD,944
X PEANUT BUTTR,TOPPINGS,FOOD,944
ESP MOCHA M,BEVERAGES,BEVERAGES,931
SALMON NIGIRI,ENTREES,FOOD,926
ICED TEA L,BEVERAGES,BEVERAGES,912
X CINN SUGAR,TOPPINGS,FOOD,897
8 oz FLT IRON STK,ENTREES,FOOD,896
TP SIDE GARDEN,SIDES,FOOD,872
GF BAR,PREPACKAGED,FOOD,842
MAPLE SAUSAGE,DESSERTS,FOOD,830
EXTR CRM CHEEZ,TOPPINGS,FOOD,823
TP SLD SOBA PNUT,ENTREES,FOOD,821
HOT PASTRM QUEEN,SANDWICHES,FOOD,814
BRKFST B VEGGIE,FOOD,FOOD,811
PUMKIN FLAV,BEVERAGES,BEVERAGES,809
TUNA MAKI,ENTREES,FOOD,807
SWT CHOC CREPE,DESSERTS,FOOD,798
SM BCN GRLD CHZ,SANDWICHES,FOOD,789
BLEU CHEESE,SALAD,FOOD,787
B BRISKET,FOOD,FOOD,784
STEAK,ENTREES,FOOD,782
X CHOCOLATE,TOPPINGS,FOOD,772
PCH GRN GOOD BWL,BEVERAGES,BEVERAGES,770
CALIFNA ROLL,SANDWICHES,FOOD,766
CORIANDER CHIX,ENTREES,FOOD,766
VODKA SAUCE,PASTA,FOOD,764
TUNA NIGIRI,ENTREES,FOOD,752
ICD MACCHIATO M,BEVERAGES,BEVERAGES,751
VEGGIE WONDER,SANDWICHES,FOOD,746
B GRND SIRLN,FOOD,FOOD,743
MARINARA,PASTA,FOOD,742
SAUSAGE,BREAKFAST,FOOD,714
NACHO CHICKEN,FOOD,FOOD,705
SIDE GUACAMOLE,FOOD,FOOD,698
AVOCADO,TOPPINGS,FOOD,693
RICE PILAF,SIDES,FOOD,685
XTRA TOPPG CR,DESSERTS,FOOD,680
WKLY SWEET CR,DESSERTS,FOOD,677
MILK SOY,BEVERAGES,BEVERAGES,676
